figura,ordem,categoria,serie,valor,proveniencia
grafico_1,1,Corpus analítico,Estudos,177,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_1,2,Referências contextuais,Estudos,112,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_1,3,Excluídos,Estudos,118,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,1,Compliance e gestão de risco,Total,157,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,1,Compliance e gestão de risco,Evidência central,23,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,2,Controles técnicos e avaliação,Total,108,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,2,Controles técnicos e avaliação,Evidência central,18,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,3,Accountability e auditoria,Total,96,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,3,Accountability e auditoria,Evidência central,17,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,4,Explicabilidade confiança e limites,Total,84,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,4,Explicabilidade confiança e limites,Evidência central,13,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,5,Aprendizagem operacional e monitoramento,Total,81,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,5,Aprendizagem operacional e monitoramento,Evidência central,18,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,6,Supervisão humana e escalonamento,Total,76,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,6,Supervisão humana e escalonamento,Evidência central,12,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,7,Governança do conhecimento,Total,44,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,7,Governança do conhecimento,Evidência central,8,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,8,Contestabilidade e reparo,Total,5,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_2,8,Contestabilidade e reparo,Evidência central,1,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_3,1,Técnica,Evidência central,20,Artigo_v2_final pré-redesign; valor publicado preservado
grafico_3,1,Técnica,Evidência de apoio,127,Artigo_v2_final pré-redesign; valor publicado preservado
